file,0011.fd2,,,,
date,2015-Sep-17 01:15:42,,,,
desc,FFT Data,,,,
note,,,,,
ch_name,Ch2,,,,
ch_type,Cross Spectrum,,,,
x_unit,Hz,,,,
y_unit,mm/s*mm/s,,,,
window,Rectangular,1.00E+00,,,
weighting,None,,,,
detection,rms,,,,
overall,0.000000e+000 rms,,,,
ref_ch_name,Ch1,,,,
ref_ch_id,+1X,,,,
ref_y_unit,mm/s,,,,
db_ref,1.00E+00,,,,
slice,Off,0.00E+00,,,
rpm,2.81E+03,,,,
time,2015-Sep-17 01:15:42,,,,
data,,,,,
x,y(re),y(im),y(magn),y(rad),y(dB)
3.58E+02,0.711234,-9.44E-06,9.44E-06,-1.55E+00,-1.01E+02
3.60E+02,1.730857,6.24E-06,6.45E-06,1.31E+00,-1.04E+02
3.63E+02,1.563921,-2.83E-06,2.96E-06,-1.87E+00,-1.11E+02
3.65E+02,1.037171,-6.33E-06,1.21E-05,-2.59E+00,-9.84E+01
3.68E+02,0.559862,4.24E-07,2.28E-06,2.95E+00,-1.13E+02
3.70E+02,-0.101016,2.57E-06,3.25E-06,2.23E+00,-1.10E+02
3.73E+02,-0.816065,-4.57E-06,4.57E-06,-1.58E+00,-1.07E+02
3.75E+02,-1.375164,5.48E-06,9.00E-06,2.49E+00,-1.01E+02
3.78E+02,-1.492202,1.94E-07,4.22E-06,3.10E+00,-1.07E+02
3.80E+02,-1.064638,-1.59E-06,6.44E-06,-2.50E-01,-1.04E+02
3.83E+02,-0.667592,-1.32E-05,1.53E-05,-2.10E+00,-9.63E+01
3.85E+02,-0.743736,-2.78E-05,3.25E-05,-1.02E+00,-8.98E+01
3.88E+02,-0.613574,1.29E-05,1.31E-05,1.74E+00,-9.77E+01
3.90E+02,-0.650654,-1.00E-05,1.46E-05,-7.53E-01,-9.67E+01
3.93E+02,-0.480056,6.29E-05,7.16E-05,2.07E+00,-8.29E+01
3.95E+02,-0.879543,7.35E-06,7.36E-06,1.51E+00,-1.03E+02
3.98E+02,-1.419263,1.61E-05,1.76E-05,1.16E+00,-9.51E+01
4.00E+02,-1.592303,1.24E-05,1.42E-05,1.05E+00,-9.69E+01
4.03E+02,-1.54271,-8.34E-06,2.01E-05,-4.27E-01,-9.39E+01
4.05E+02,-1.521652,-1.36E-05,1.41E-05,-1.32E+00,-9.70E+01
4.08E+02,-0.973235,2.67E-07,9.32E-07,2.90E-01,-1.21E+02
4.10E+02,-0.227821,1.01E-05,2.23E-05,4.68E-01,-9.30E+01
4.13E+02,0.21485,-7.54E-06,9.41E-06,-9.29E-01,-1.01E+02
4.15E+02,1.228522,-1.02E-05,1.26E-05,-9.41E-01,-9.80E+01
4.18E+02,1.227149,2.85E-06,2.90E-06,1.39E+00,-1.11E+02
4.20E+02,0.587786,1.35E-05,1.44E-05,1.22E+00,-9.68E+01
4.23E+02,1.188085,9.43E-05,1.61E-04,6.27E-01,-7.59E+01
4.25E+02,1.262245,-1.76E-05,1.76E-05,-1.54E+00,-9.51E+01
4.28E+02,1.091799,-2.43E-04,2.47E-04,-1.40E+00,-7.21E+01
4.30E+02,2.738425,8.65E-06,9.23E-06,1.21E+00,-1.01E+02
4.33E+02,2.601092,7.10E-06,2.99E-05,2.40E-01,-9.05E+01
4.35E+02,1.491592,-5.78E-07,1.62E-06,-3.64E-01,-1.16E+02
4.38E+02,0.276803,2.92E-06,3.57E-06,9.58E-01,-1.09E+02
4.40E+02,-0.605945,-5.83E-06,1.98E-05,-2.99E-01,-9.41E+01
4.43E+02,-0.410169,1.44E-06,1.46E-05,9.90E-02,-9.67E+01
4.45E+02,-0.723136,1.29E-06,6.08E-06,2.13E-01,-1.04E+02
4.48E+02,0.073397,-2.45E-06,3.16E-05,-7.76E-02,-9.00E+01
4.50E+02,0.652486,-1.53E-05,2.03E-05,-8.49E-01,-9.38E+01
4.53E+02,1.0477,-1.01E-05,1.49E-05,-7.44E-01,-9.66E+01
4.55E+02,1.357615,-3.34E-05,3.96E-05,-1.00E+00,-8.81E+01
4.58E+02,1.107822,-4.27E-04,4.54E-04,-1.22E+00,-6.69E+01
4.60E+02,0.033265,-5.73E-04,5.74E-04,-1.51E+00,-6.48E+01
4.63E+02,0.141911,-1.36E-05,3.17E-05,-4.43E-01,-9.00E+01
4.65E+02,-0.351573,1.35E-04,1.48E-04,1.98E+00,-7.66E+01
4.68E+02,-0.151067,1.09E-05,2.23E-05,2.63E+00,-9.30E+01
4.70E+02,-0.253914,-6.17E-06,1.03E-05,-2.50E+00,-9.98E+01
4.73E+02,-0.582598,5.14E-06,1.78E-05,2.85E+00,-9.50E+01
4.75E+02,-1.254616,1.60E-07,1.36E-05,3.13E+00,-9.73E+01
4.78E+02,-1.644337,-3.70E-06,3.77E-06,-1.76E+00,-1.08E+02
4.80E+02,-1.350291,-1.47E-06,5.14E-06,-2.85E+00,-1.06E+02
4.83E+02,-0.771202,-1.41E-05,1.59E-05,-2.06E+00,-9.59E+01
4.85E+02,-0.285806,-1.92E-05,2.98E-05,-2.44E+00,-9.05E+01
4.88E+02,-0.384533,3.72E-07,1.20E-05,3.09E-02,-9.84E+01
4.90E+02,-0.516373,-2.24E-06,4.00E-06,-5.96E-01,-1.08E+02
4.93E+02,-0.216071,6.51E-08,3.34E-06,3.12E+00,-1.10E+02
4.95E+02,0.03647,3.30E-07,3.47E-06,3.05E+00,-1.09E+02
4.98E+02,0.429395,6.57E-06,6.87E-06,1.27E+00,-1.03E+02
5.00E+02,1.146275,-7.35E-06,7.78E-06,-1.24E+00,-1.02E+02
5.03E+02,0.751976,-4.70E-06,8.53E-06,-2.56E+00,-1.01E+02
5.05E+02,0.003357,-6.57E-05,6.63E-05,-1.43E+00,-8.36E+01
5.08E+02,-0.966368,-5.82E-06,8.16E-06,-2.35E+00,-1.02E+02
5.10E+02,-1.020081,-5.98E-05,9.66E-05,-6.68E-01,-8.03E+01
5.13E+02,-0.643788,-8.44E-06,1.39E-05,-6.52E-01,-9.71E+01
5.15E+02,-1.195562,-1.54E-04,1.95E-04,-9.08E-01,-7.42E+01
5.18E+02,-1.476943,-1.21E-05,1.26E-05,-1.28E+00,-9.80E+01
5.20E+02,-1.070894,-1.04E-07,4.24E-06,-3.12E+00,-1.07E+02
5.23E+02,-0.436415,-5.95E-07,7.19E-07,-2.17E+00,-1.23E+02
5.25E+02,-0.308084,3.99E-06,4.03E-06,1.43E+00,-1.08E+02
5.28E+02,-0.182043,-5.29E-05,5.30E-05,-1.63E+00,-8.55E+01
5.30E+02,-0.382549,-6.98E-06,6.98E-06,-1.57E+00,-1.03E+02
5.33E+02,-0.386059,-5.78E-06,6.68E-06,-1.05E+00,-1.04E+02
5.35E+02,-0.693533,-3.20E-06,3.43E-06,-1.94E+00,-1.09E+02
5.38E+02,-0.574663,-4.47E-06,7.63E-06,-2.52E+00,-1.02E+02
5.40E+02,-0.575426,-6.39E-07,1.99E-06,-2.82E+00,-1.14E+02
5.43E+02,-0.375072,4.33E-06,9.57E-06,4.69E-01,-1.00E+02
5.45E+02,-0.691549,2.65E-06,8.86E-06,3.04E-01,-1.01E+02
5.48E+02,-0.658589,1.63E-06,2.72E-05,6.01E-02,-9.13E+01
5.50E+02,-0.543382,5.26E-05,1.32E-04,4.09E-01,-7.76E+01
5.53E+02,0.152135,1.09E-03,1.45E-03,8.43E-01,-5.67E+01
5.55E+02,1.122165,6.73E-05,6.92E-05,1.33E+00,-8.32E+01
5.58E+02,0.986358,3.24E-05,3.48E-05,1.20E+00,-8.92E+01
5.60E+02,0.892666,9.93E-06,1.06E-05,1.20E+00,-9.95E+01
5.63E+02,1.355327,-1.84E-06,1.39E-05,-1.32E-01,-9.71E+01
5.65E+02,1.060823,8.52E-06,1.01E-05,1.00E+00,-9.99E+01
5.68E+02,0.918912,-3.27E-06,8.79E-06,-3.81E-01,-1.01E+02
5.70E+02,1.544389,1.39E-05,1.98E-05,7.83E-01,-9.41E+01
5.73E+02,0.800348,2.08E-06,7.81E-06,2.70E-01,-1.02E+02
5.75E+02,0.307626,5.42E-06,5.52E-06,1.76E+00,-1.05E+02
5.78E+02,-0.884884,-5.09E-06,5.37E-06,-1.90E+00,-1.05E+02
5.80E+02,-1.340373,4.49E-05,4.60E-05,1.34E+00,-8.67E+01
5.83E+02,-1.0477,4.56E-06,5.57E-06,2.18E+00,-1.05E+02
5.85E+02,-1.099734,3.98E-06,4.03E-06,1.40E+00,-1.08E+02
5.88E+02,-0.741447,1.78E-06,7.40E-06,2.43E-01,-1.03E+02
5.90E+02,-0.706808,-3.09E-06,4.14E-06,-2.30E+00,-1.08E+02
5.93E+02,-0.521409,1.66E-05,1.67E-05,1.64E+00,-9.56E+01
5.95E+02,-0.310221,3.61E-06,7.06E-06,2.61E+00,-1.03E+02
5.98E+02,-0.615558,1.46E-05,1.12E-04,1.31E-01,-7.90E+01
6.00E+02,-0.824457,-5.85E-06,5.86E-06,-1.64E+00,-1.05E+02
6.03E+02,-1.125522,-2.63E-06,3.82E-04,-6.89E-03,-6.84E+01
6.05E+02,-1.174657,2.72E-05,2.83E-05,1.86E+00,-9.10E+01
6.08E+02,-0.958281,-9.24E-05,9.25E-05,-1.53E+00,-8.07E+01
6.10E+02,-1.54683,-9.14E-05,1.13E-04,-9.44E-01,-7.89E+01
6.13E+02,-1.311533,-7.45E-06,1.02E-05,-2.32E+00,-9.98E+01
6.15E+02,-1.012451,-2.90E-05,8.08E-05,-3.68E-01,-8.19E+01
6.18E+02,-0.366527,1.54E-05,1.87E-05,9.68E-01,-9.46E+01
6.20E+02,0.376293,-3.46E-07,5.70E-07,-6.52E-01,-1.25E+02
6.23E+02,0.418866,-5.45E-07,5.07E-06,-1.08E-01,-1.06E+02
6.25E+02,0.690023,2.43E-06,4.71E-06,5.41E-01,-1.07E+02
6.28E+02,0.266732,5.29E-06,1.23E-05,4.44E-01,-9.82E+01
6.30E+02,0.023347,-3.56E-06,5.74E-06,-6.70E-01,-1.05E+02
6.33E+02,0.345927,1.51E-05,2.33E-05,7.04E-01,-9.27E+01
6.35E+02,0.687582,3.70E-05,6.10E-05,6.50E-01,-8.43E+01
6.38E+02,1.111026,2.05E-06,6.10E-06,2.80E+00,-1.04E+02
6.40E+02,2.091433,1.77E-06,5.20E-06,3.46E-01,-1.06E+02
6.43E+02,1.535691,-3.97E-06,7.43E-06,-5.64E-01,-1.03E+02
6.45E+02,0.654774,-9.90E-06,2.30E-05,-4.46E-01,-9.28E+01
6.48E+02,0.60213,-9.68E-06,9.68E-06,-1.57E+00,-1.00E+02
6.50E+02,0.211646,4.46E-05,5.21E-05,1.03E+00,-8.57E+01
6.53E+02,0.623951,-2.71E-05,2.92E-05,-1.19E+00,-9.07E+01
6.55E+02,0.432142,-1.61E-04,3.29E-04,-5.11E-01,-6.96E+01
6.58E+02,0.862605,1.93E-05,1.06E-04,1.84E-01,-7.95E+01
6.60E+02,0.979033,-1.75E-05,1.18E-04,-1.49E-01,-7.86E+01
6.63E+02,1.474807,3.37E-05,4.56E-05,8.31E-01,-8.68E+01
6.65E+02,2.032074,-5.88E-05,8.62E-05,-7.50E-01,-8.13E+01
6.68E+02,0.922727,7.44E-06,1.09E-05,7.48E-01,-9.92E+01
6.70E+02,0.376598,1.11E-05,3.05E-05,3.74E-01,-9.03E+01
6.73E+02,-0.503555,1.11E-05,4.35E-05,2.58E-01,-8.72E+01
6.75E+02,-0.917539,8.60E-06,1.21E-05,7.95E-01,-9.84E+01
6.78E+02,-0.904111,3.24E-06,1.16E-05,2.86E+00,-9.87E+01
6.80E+02,-0.910825,3.33E-07,3.40E-05,9.79E-03,-8.94E+01
6.83E+02,-1.308023,-2.08E-06,9.01E-06,-2.91E+00,-1.01E+02
6.85E+02,-0.988494,1.50E-05,5.22E-05,2.91E-01,-8.56E+01
6.88E+02,-0.202338,-1.21E-05,1.33E-05,-1.99E+00,-9.75E+01
6.90E+02,-0.494705,-7.05E-06,2.74E-05,-2.60E-01,-9.12E+01
6.93E+02,0.003357,-2.11E-05,2.95E-05,-7.95E-01,-9.06E+01
6.95E+02,0.515915,-7.88E-05,8.91E-05,-1.09E+00,-8.10E+01
6.98E+02,0.984069,-7.88E-05,2.82E-04,-2.83E-01,-7.10E+01
7.00E+02,1.52974,-1.21E-05,2.86E-05,-4.36E-01,-9.09E+01
7.03E+02,2.32139,1.09E-03,1.53E-03,7.96E-01,-5.63E+01
7.05E+02,1.467329,5.61E-05,6.85E-05,2.18E+00,-8.33E+01
7.08E+02,2.233344,1.12E-03,1.16E-03,1.30E+00,-5.87E+01
7.10E+02,2.618487,4.35E-04,4.36E-04,1.64E+00,-6.72E+01
7.13E+02,1.854304,1.74E-05,5.74E-05,2.83E+00,-8.48E+01
7.15E+02,0.973998,3.29E-06,1.90E-05,1.74E-01,-9.44E+01
7.18E+02,0.29313,-3.85E-06,5.18E-06,-8.39E-01,-1.06E+02
7.20E+02,0.909299,6.13E-06,6.15E-06,1.65E+00,-1.04E+02
7.23E+02,0.853602,-5.67E-07,1.47E-05,-3.85E-02,-9.66E+01
7.25E+02,0.518357,3.35E-06,4.73E-06,2.35E+00,-1.07E+02
7.28E+02,0.114292,1.97E-06,4.06E-06,2.63E+00,-1.08E+02
7.30E+02,0.389263,-1.74E-06,2.03E-06,-1.03E+00,-1.14E+02
7.33E+02,0.75808,1.53E-06,1.84E-06,9.85E-01,-1.15E+02
7.35E+02,0.873134,6.04E-06,1.23E-05,2.63E+00,-9.82E+01
7.38E+02,0.571306,1.97E-05,4.88E-05,4.15E-01,-8.62E+01
7.40E+02,0.04944,-1.33E-05,2.80E-05,-2.65E+00,-9.11E+01
7.43E+02,0.119785,1.98E-05,2.09E-05,1.90E+00,-9.36E+01
7.45E+02,-0.026704,1.12E-05,1.84E-05,2.49E+00,-9.47E+01
7.48E+02,-0.008087,-2.45E-05,4.43E-05,-2.56E+00,-8.71E+01
7.50E+02,-0.512863,-1.49E-05,6.06E-05,-2.89E+00,-8.44E+01
7.53E+02,-1.29963,4.18E-05,4.30E-05,1.81E+00,-8.73E+01
7.55E+02,-0.74221,-1.34E-05,1.64E-05,-9.61E-01,-9.57E+01
7.58E+02,-0.725577,2.14E-05,2.27E-05,1.91E+00,-9.29E+01
7.60E+02,-0.429243,5.22E-06,5.31E-06,1.39E+00,-1.06E+02
7.63E+02,0.096286,9.01E-06,9.01E-06,1.57E+00,-1.01E+02
7.65E+02,0.820642,2.32E-06,2.76E-06,9.97E-01,-1.11E+02
7.68E+02,0.638447,4.48E-06,2.54E-05,2.96E+00,-9.19E+01
7.70E+02,1.713003,4.51E-07,1.51E-06,2.84E+00,-1.16E+02
